,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,valence,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2166,Krasopino,Ta Tsilika,Haris Alexiou,1983-04-07,169346,7,0.742,0.534,0.464,0.726,0.0,0.0736,-6.41,0.0313,92.217,3
2167,Magiko,Ta Tsilika,Haris Alexiou,1983-04-07,147493,6,0.713,0.446,0.649,0.962,0.0,0.162,-5.631,0.026,100.842,4
2168,M' Eblexe Enas Mortis,Ta Tsilika,Haris Alexiou,1983-04-07,219426,7,0.631,0.408,0.429,0.688,0.0,0.291,-6.895,0.0318,82.742,4
2169,Mi Mou Les Pos Den Ponao,Ta Tsilika,Haris Alexiou,1983-04-07,187440,6,0.795,0.389,0.667,0.922,0.0,0.0797,-6.896,0.0263,100.381,4
2170,Bournovalios Manes,Ta Tsilika,Haris Alexiou,1983-04-07,192893,5,0.428,0.7,0.453,0.382,0.0,0.0768,-6.814,0.0314,86.373,4
2171,O Magas,Ta Tsilika,Haris Alexiou,1983-04-07,146099,5,0.459,0.26,0.586,0.827,0.0,0.0919,-5.923,0.086,202.434,4
2172,Se Gelasane,Ta Tsilika,Haris Alexiou,1983-04-07,188093,9,0.757,0.405,0.543,0.88,0.0,0.144,-7.262,0.0258,94.927,4
2173,Patoma,Psithyroi,Haris Alexiou,2000,232733,6,0.515,0.986,0.0906,0.204,0.000126,0.13,-14.025,0.0343,92.583,4
2174,Kalosorisma - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,283040,7,0.326,0.139,0.486,0.308,0.0,0.687,-14.357,0.0776,151.575,4
2175,An Iparhi Logos - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,190293,5,0.498,0.328,0.687,0.559,0.0,0.877,-10.957,0.0486,98.897,4
2176,Ti Pathos - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,180040,3,0.534,0.45,0.479,0.526,0.0,0.93,-13.01,0.0377,93.048,4
2177,Canzone Per Te - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,199226,1,0.41,0.565,0.426,0.382,0.0,0.852,-12.764,0.0529,90.417,4
2178,O Paliatsos Ke O Listis - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,238306,3,0.548,0.00637,0.918,0.621,0.000435,0.96,-9.545,0.0731,133.303,4
2179,Gela Pouli Mou - Live,Iparhi Logos (Live),George Dalaras,1992-03-08,205626,3,0.227,0.494,0.663,0.309,0.0,0.925,-12.446,0.271,106.779,4
2180,Erotiko Kalesma,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,213093,1,0.234,0.87,0.257,0.116,0.0203,0.106,-13.373,0.0329,117.524,4
2181,Ela Sto Oniro Mou,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,220106,13,0.514,0.472,0.576,0.633,0.0,0.177,-11.753,0.043,84.034,4
2182,Den Ftes Esi,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,223440,1,0.613,0.301,0.414,0.403,0.000167,0.189,-12.759,0.0284,131.937,4
2183,Ta Hilia Gramata,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,169840,2,0.627,0.709,0.483,0.613,5.44e-05,0.0932,-9.912,0.0452,109.967,4
2184,To Oreo Kalokeri,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,409000,2,0.516,0.572,0.318,0.378,0.00519,0.204,-13.142,0.0354,123.845,4
2185,Kalo Taxidi,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,195733,2,0.671,0.181,0.546,0.884,0.000709,0.0647,-12.034,0.0346,143.936,4
2186,Gimni Skia,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,278826,3,0.57,0.417,0.424,0.343,9.75e-05,0.416,-11.784,0.0322,133.894,4
2187,Exegersi,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,213200,0,0.542,0.00954,0.701,0.27,0.0115,0.122,-11.135,0.0563,95.914,4
2188,I Monaxia Tou Shinovati,I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,246240,20,0.447,0.262,0.474,0.495,0.00229,0.0959,-12.517,0.0658,169.898,3
2189,Don't Worry (Be Happy),I Monaxia Tou Shinovati,Harrys Katsimichas,1992-09-04,346506,2,0.591,0.338,0.365,0.797,0.00533,0.93,-12.756,0.0611,138.207,4
2190,Pexe Vrahni Mou Fisarmonika,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,115533,10,0.29,0.922,0.184,0.171,0.0,0.114,-13.747,0.0363,104.01,3
2191,Prosopikes Optasies,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,163173,30,0.582,0.39,0.724,0.655,1.08e-06,0.0681,-9.036,0.0381,89.624,4
2192,Fanis,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,345373,25,0.392,0.648,0.465,0.37,0.0,0.174,-9.217,0.032,95.269,4
2193,Tis Kiriakes Apo Pedi Tis Sihenomouna,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,309653,9,0.557,0.751,0.263,0.132,4.58e-06,0.118,-10.288,0.0284,112.79,4
2194,Mia Vradia Sto Louki,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,191346,36,0.516,0.666,0.546,0.493,1.58e-06,0.0888,-9.114,0.0321,83.234,3
2195,Rita Ritaki,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,192520,39,0.685,0.624,0.586,0.256,1.47e-05,0.131,-7.598,0.06,142.64,4
2196,Gia Ena Kommati Psomi,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,225640,11,0.582,0.709,0.485,0.343,0.000518,0.137,-8.178,0.027,128.637,4
2197,Ipogio,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,250680,15,0.393,0.82,0.446,0.525,9.59e-05,0.0813,-10.767,0.0558,85.029,4
2198,Koritsia Tis Signomis,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,260346,12,0.511,0.846,0.23,0.273,9.76e-06,0.0945,-13.321,0.031,128.077,4
2199,Gela Pouli Mou,Zesta Pota,Haris & Panos Katsimihas,1985-04-01,184453,29,0.498,0.627,0.388,0.206,0.0,0.205,-9.211,0.0286,113.124,4
2200,O Megalos Adelfos,Tripies Simees,Haris Katsimihas,2000-12-14,322906,0,0.597,0.0847,0.74,0.437,8.66e-05,0.174,-8.102,0.0327,89.981,4
2201,Tripies Simees,Tripies Simees,Haris Katsimihas,2000-12-14,292400,1,0.525,0.156,0.532,0.501,8.46e-06,0.201,-7.969,0.0293,110.007,4
2202,Ta Tragoudia Mou Ine Kapos,Tripies Simees,Haris Katsimihas,2000-12-14,197626,0,0.49,0.000623,0.876,0.794,9.89e-05,0.343,-5.17,0.0386,147.003,4
2203,An Ise Theos,Tripies Simees,Haris Katsimihas,2000-12-14,277573,0,0.518,0.0433,0.467,0.441,0.0,0.104,-7.616,0.0296,126.033,4
2204,Ego Ithela Na Gino Dentro,Tripies Simees,Haris Katsimihas,2000-12-14,236000,0,0.459,0.498,0.533,0.338,3.05e-06,0.167,-9.182,0.0307,114.965,4
2205,Gineka Tis Psichis Mou,Tripies Simees,Haris Katsimihas,2000-12-14,142293,0,0.372,0.893,0.113,0.0799,0.000336,0.121,-14.749,0.0384,119.866,3
2206,Kerinia,Tripies Simees,Haris Katsimihas,2000-12-14,236973,0,0.431,0.201,0.471,0.388,0.0,0.317,-7.949,0.0308,114.236,4
2207,Poios Ti Zoi Mou,Tripies Simees,Haris Katsimihas,2000-12-14,192173,2,0.606,0.0771,0.642,0.615,0.00016,0.0597,-9.314,0.0344,85.541,4
2208,Parathiro Sto Fos,Tripies Simees,Haris Katsimihas,2000-12-14,303600,1,0.413,0.81,0.322,0.178,0.0474,0.114,-9.387,0.0301,111.075,4
2209,Pios Ti Zoi Mou,Tripies Simees,Haris Katsimihas,2000-12-14,207133,1,0.233,0.797,0.218,0.0838,4.21e-05,0.105,-12.388,0.0386,174.241,5
2210,Nihtose Nihta,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,241746,14,0.51,0.0787,0.543,0.475,1.97e-06,0.196,-8.112,0.0265,79.534,4
2211,Shima Logou,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,225533,20,0.371,0.618,0.414,0.22,0.0,0.13,-7.282,0.0328,80.358,3
2212,I Synelefsi Ton Pontikon,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,201212,8,0.659,0.199,0.532,0.537,0.0,0.121,-5.958,0.0307,99.938,4
2213,Kataggelo,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,201912,6,0.72,0.148,0.62,0.642,0.0,0.369,-6.196,0.0445,132.048,4
2214,Omorfi Mera,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,172840,8,0.516,0.386,0.681,0.344,0.00263,0.235,-7.227,0.0274,89.958,4
2215,Santorini,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,236226,8,0.483,0.314,0.65,0.46,4.3e-06,0.112,-6.853,0.0326,125.151,4
2216,Markos Kai Anna,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,225040,13,0.478,0.314,0.478,0.249,0.0,0.239,-8.244,0.0289,130.141,4
2217,Mi Girisis,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,207706,31,0.538,0.0198,0.503,0.081,1.48e-05,0.147,-7.514,0.0268,131.895,4
2218,Amorgiano Mou Perama,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,261680,11,0.532,0.493,0.532,0.678,0.0,0.27,-6.353,0.0338,82.022,4
2219,An Yparhi Logos,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,189786,7,0.67,0.139,0.758,0.694,0.0,0.261,-6.345,0.0313,100.987,4
2220,Anoites Agapes,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,261720,15,0.448,0.456,0.428,0.0861,0.0,0.126,-8.024,0.0297,128.045,4
2221,Dos Mou To Psema Sou,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,211560,5,0.455,0.17,0.746,0.606,4.98e-06,0.363,-7.169,0.0337,92.933,4
2222,Don'T Worry Be Happy,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,297733,13,0.549,0.195,0.674,0.622,0.000239,0.181,-7.013,0.0513,132.117,4
2223,Tou Erota,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,231000,16,0.298,0.512,0.681,0.0552,0.000125,0.0958,-6.442,0.0463,135.871,4
2224,Bleib Treu Cafe - Berlin 1976,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,226397,3,0.35,0.116,0.388,0.229,8.05e-05,0.103,-9.264,0.0318,121.391,4
2225,To Domatio,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,260413,9,0.436,0.186,0.457,0.103,0.0,0.117,-8.267,0.0308,117.631,4
2226,O Paliatsos Ki O Listis,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,162560,7,0.605,0.00226,0.721,0.76,0.000179,0.227,-6.646,0.0285,129.986,4
2227,Louloudi Tou Dasous,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,227013,8,0.551,0.0323,0.616,0.511,0.000119,0.329,-6.408,0.0373,130.87,4
2228,Otan Sou Leo Portokali Na Vgenis,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,308000,2,0.283,0.623,0.366,0.337,0.000266,0.111,-8.812,0.0294,143.717,4
2229,Theofilos Hadjimihail,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,337826,2,0.375,0.83,0.305,0.179,1.7e-05,0.103,-9.784,0.0324,112.782,4
2230,Torpedo Blues,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,340546,1,0.623,0.405,0.47,0.444,0.0,0.378,-9.564,0.0309,122.473,4
2231,I'M Calling Earth,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,314733,1,0.427,0.466,0.627,0.34,0.000806,0.101,-9.046,0.0369,89.945,4
2232,Mitera Signomi Pou Den Pantreftika Esena,Haris & Panos Katsimihas Compilation,Haris & Panos Katsimihas,2006-01-01,246093,3,0.352,0.797,0.285,0.205,0.0,0.0958,-10.872,0.038,50.479,4
2233,I Ehemythia,"Haris & Panos Katsimihas Compilation, Vol. 2",Haris & Panos Katsimihas,2016-01-01,193410,2,0.275,0.71,0.239,0.217,2.79e-06,0.103,-11.515,0.0335,133.294,3
2234,Kokkinos Horos,"Haris & Panos Katsimihas Compilation, Vol. 2",Haris & Panos Katsimihas,2016-01-01,204512,1,0.543,0.0169,0.702,0.741,4.12e-06,0.11,-8.206,0.0398,138.796,5
2235,I Veziropoula Me To Sazi,"Haris & Panos Katsimihas Compilation, Vol. 2",Haris & Panos Katsimihas,2016-01-01,187533,1,0.462,0.452,0.538,0.462,0.0975,0.111,-12.029,0.033,88.548,4
